,id,date_recorded,funder,gps_height,installer,longitude,latitude,num_private,basin,region,region_code,district_code,lga,population,public_meeting,scheme_management,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group,nearest_functional_dist,priority_scores
20835,10463,2013-03-18,government of tanzania,986.0,rwe,36.86022871,-3.46987513,0,pangani,arusha,2,7,meru,150.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0073141764983981495,0.2587201491041293
14820,52228,2013-01-27,dbfpe,265.0,dbfpe,38.50464046,-10.16990371,0,ruvuma / southern coast,lindi,8,3,nachingwea,749.0,True,vwc,False,2001.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional needs repair,0.1196008361271426,0.25865123957115704
3815,35400,2013-03-06,government of tanzania,1417.0,government,34.68090388,-2.14577732,0,lake victoria,mara,20,2,serengeti,2000.0,True,wug,True,1979.0,mono,mono,motorpump,wug,user-group,never pay,never pay,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0008967887459147686,0.2586260509918383
8846,30853,2011-04-14,government of tanzania,1755.0,dwe,34.70416017,-9.1255016,0,rufiji,iringa,11,4,njombe,50.0,True,wua,True,1974.0,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.008696852251117618,0.25847082502563207
5412,34188,2013-01-29,finidagermantanzania govt,544.0,finwater,39.30397996,-10.72952888,0,ruvuma / southern coast,mtwara,90,33,newala,703.0,True,vwc,False,1988.0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.061178620454706754,0.25788418488555637
5511,69800,2013-01-24,district council,289.0,district water department,39.12352265,-9.90776003,0,ruvuma / southern coast,lindi,80,53,ruangwa,530.0,True,wua,True,1975.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair,0.005273681125561242,0.25786282118089815
26220,26670,2011-03-31,bsf,,dwe,35.14748498,-5.10424528,0,internal,dodoma,1,1,kondoa,,True,vwc,False,,cemo,other motorpump,motorpump,vwc,user-group,pay per bucket,per bucket,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0993144906222933,0.2575897442702163
52040,72589,2013-01-24,district council,293.0,district water department,39.12234343,-9.90310658,0,ruvuma / southern coast,lindi,80,53,ruangwa,750.0,True,wua,True,1975.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0015463980263854095,0.25745489139918176
32335,61590,2013-03-19,ilct,1441.0,ilct,36.7798889,-3.35482544,0,pangani,arusha,2,7,meru,129.0,True,vwc,True,1973.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.00222157381972886,0.2574453919084135
9089,37518,2013-01-30,government of tanzania,1294.0,government,30.0383909,-4.77738235,0,lake tanganyika,kigoma,16,2,kasulu,970.0,True,water authority,True,1976.0,gravity,gravity,gravity,water board,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0025504657840101762,0.25736006039941484
27826,16446,2011-03-18,government of tanzania,1176.0,dwe,38.42104561,-4.6151431,0,pangani,tanga,4,1,lushoto,1.0,True,vwc,True,1974.0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair,0.008621919838764584,0.2572986519987357
56801,63442,2013-03-28,government of tanzania,670.0,government,37.83144513,-4.36927633,0,pangani,kilimanjaro,3,3,same,86.0,True,water authority,True,1975.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.011584206790438763,0.25699506722089754
11887,70671,2011-02-27,government of tanzania,222.0,ce,38.58439129999999,-6.37118258,0,wami / ruvu,pwani,6,1,bagamoyo,400.0,True,vwc,True,1974.0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,coloured,colored,insufficient,insufficient,dam,dam,surface,communal standpipe,communal standpipe,functional needs repair,0.0021564502851896066,0.2569697318488442
20023,34801,2013-02-27,government of tanzania,944.0,dwe,37.40095934,-3.3322953,0,pangani,kilimanjaro,3,4,moshi rural,75.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.007097556424193743,0.25678377090271404
56817,52517,2013-01-30,norad,1017.0,dwe,29.92198788,-4.88315688,0,lake tanganyika,kigoma,16,3,kigoma rural,1000.0,False,wug,True,1985.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.041972458755518575,0.2564217060525689
57681,19020,2013-02-27,government of tanzania,983.0,dwe,37.40933588,-3.33374876,0,pangani,kilimanjaro,3,4,moshi rural,50.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.006801295879652223,0.25582565349743086
16807,25192,2013-01-25,district council,74.0,district water department,39.10784882,-9.722871,0,ruvuma / southern coast,lindi,80,53,ruangwa,1251.0,True,vwc,True,1988.0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair,0.05085512446199231,0.25541794589484
13777,59979,2013-02-26,government of tanzania,912.0,dwe,37.42057299,-3.34876963,0,pangani,kilimanjaro,3,4,moshi rural,50.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.006491875113683133,0.2553938694509649
40385,59673,2013-01-21,finw,354.0,finw,39.47194472,-10.75154045,0,ruvuma / southern coast,mtwara,9,4,tandahimba,420.0,True,water board,True,1982.0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.036651590416773565,0.25522758451996796
2475,50155,2013-02-23,government of tanzania,964.0,government,35.15062887,-10.68377,0,ruvuma / southern coast,ruvuma,10,3,mbinga,160.0,,vwc,True,1977.0,gravity,gravity,gravity,,,,,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.017955333197591312,0.2549194034768127
42322,30260,2011-03-09,wd and id,64.0,wd and id,38.66408496,-5.80538232,0,pangani,tanga,4,5,pangani,100.0,False,vwc,False,1973.0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,seasonal,seasonal,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0007899754189838755,0.2548158052105319
9913,65998,2013-01-21,government of tanzania,1268.0,dwe,30.26122103,-4.5183833,0,lake tanganyika,kigoma,16,2,kasulu,1200.0,True,water authority,True,1977.0,gravity,gravity,gravity,water board,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.0014045268676695644,0.2544828620267377
28332,67429,2013-02-18,government of tanzania,1293.0,government,30.10448296,-4.51023526,0,lake tanganyika,kigoma,16,2,kasulu,520.0,True,water authority,True,1975.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.002887750020015577,0.2543154725671615
10006,35700,2013-02-15,tassaf,10.0,tassaf,40.27681304,-10.38409031,0,ruvuma / southern coast,mtwara,99,1,mtwara rural,1000.0,True,vwc,True,1978.0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.008787988742736562,0.254139290175011
32444,40487,2013-01-30,government of tanzania,1291.0,government,30.03992204,-4.77723086,0,lake tanganyika,kigoma,16,2,kasulu,750.0,True,water authority,True,1976.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0036230482967936606,0.254063463893899
57831,55445,2013-02-27,government of tanzania,1318.0,dwe,37.41419763,-3.30714493,0,pangani,kilimanjaro,3,4,moshi rural,40.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair,0.005672842795636288,0.2540330641248124
58830,39497,2013-02-03,unicef,56.0,unisef,39.71157463,-10.35201714,0,ruvuma / southern coast,mtwara,99,1,mtwara rural,300.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0015835161074651072,0.2539914339523438
11734,64571,2013-02-14,government of tanzania,1245.0,dwe,35.88857567,-4.17471763,0,internal,manyara,21,1,babati,10.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.006058728396429465,0.2539179142338676
8278,30527,2013-02-27,government of tanzania,1041.0,dwe,37.41106233,-3.32855741,0,pangani,kilimanjaro,3,4,moshi rural,1.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,other,other,functional needs repair,0.006074667423225293,0.2537440652472389
33139,55000,2013-01-24,district council,287.0,district water department,39.11624847,-9.9026459,0,ruvuma / southern coast,lindi,80,53,ruangwa,380.0,True,wua,True,1975.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0045932900383019335,0.2536451757331112
5133,13672,2013-02-24,government of tanzania,1365.0,dwe,37.41728346,-3.30601681,0,pangani,kilimanjaro,3,4,moshi rural,40.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.004872187888506346,0.2529157828895319
2495,69424,2013-03-18,government of tanzania,976.0,rwe,36.861914,-3.47477661,0,pangani,arusha,2,7,meru,180.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.002674841650676276,0.2528997842227402
18989,64083,2013-02-23,government of tanzania,959.0,government,35.14933659,-10.68606518,0,ruvuma / southern coast,ruvuma,10,3,mbinga,60.0,,vwc,True,1977.0,gravity,gravity,gravity,,,,,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.017966669803657898,0.2527564316055939
4135,10455,2013-03-18,government of tanzania,1014.0,rwe,36.85278605,-3.45210272,0,pangani,arusha,2,7,meru,150.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.002948974664473007,0.2526286881590644
2621,55877,2013-02-02,danida,436.0,danida,37.45393903,-11.21809327,0,ruvuma / southern coast,ruvuma,10,1,tunduru,1.0,True,vwc,False,1986.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.05925523922316544,0.2524836839253711
511,14123,2013-02-18,government of tanzania,1298.0,government,30.10273337,-4.50713784,0,lake tanganyika,kigoma,16,2,kasulu,450.0,True,water authority,True,1975.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.0026124023498874925,0.25240608198536135
25923,31038,2013-02-03,danida,432.0,danida,37.45395004,-11.21803629,0,ruvuma / southern coast,ruvuma,10,1,tunduru,1.0,True,vwc,False,1986.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.059199263094068796,0.252405571522504
46230,46222,2013-02-27,government of tanzania,1028.0,dwe,37.40582437,-3.32612846,0,pangani,kilimanjaro,3,4,moshi rural,75.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.003878455105448549,0.25229164643576557
20385,36584,2013-03-04,government of tanzania,859.0,government,37.74137088,-4.06471105,0,pangani,kilimanjaro,3,3,same,500.0,True,water authority,True,1975.0,submersible,submersible,submersible,water authority,commercial,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0017323196738762948,0.2522673583624109
13070,12829,2013-01-21,government of tanzania,1237.0,dwe,30.25723113,-4.52707581,0,lake tanganyika,kigoma,16,2,kasulu,950.0,True,water authority,True,1977.0,gravity,gravity,gravity,water board,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.0036753920923081555,0.2522047826317562
3217,34103,2013-02-24,government of tanzania,1433.0,dwe,37.42697168,-3.30619327,0,pangani,kilimanjaro,3,4,moshi rural,100.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.003316319518624258,0.2520519070846962
33756,63486,2011-04-14,unicef/central,1749.0,dwe,34.70083912,-9.11711479,0,rufiji,iringa,11,4,njombe,50.0,True,wua,True,1974.0,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.0039309782919893736,0.2518202424877275
25,22308,2013-02-25,government of tanzania,1273.0,dwe,37.42275132,-3.31753648,0,pangani,kilimanjaro,3,4,moshi rural,140.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0023169570839775733,0.2515288542640821
11296,63957,2013-02-27,government of tanzania,1150.0,dwe,37.42281515,-3.32716775,0,pangani,kilimanjaro,3,4,moshi rural,60.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0035500544454023595,0.25150655797566684
10357,55569,2013-01-21,finw,356.0,finw,39.46922482,-10.74806608,0,ruvuma / southern coast,mtwara,9,4,tandahimba,530.0,True,water board,True,1982.0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.03224622137695327,0.2514767426853176
54956,35359,2013-02-04,regional water engineer arusha,1950.0,regional water engineer arusha,35.32020471,-4.031907299999999,0,internal,manyara,21,3,mbulu,182.0,True,vwc,True,1976.0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.01059170856283233,0.2514124082644756
8366,21850,2013-02-18,government of tanzania,1294.0,government,30.1039938,-4.51133074,0,lake tanganyika,kigoma,16,2,kasulu,350.0,True,water authority,True,1975.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.003395770848523513,0.25132044910116996
11408,52751,2013-01-21,government of tanzania,1248.0,dwe,30.25485774,-4.51914318,0,lake tanganyika,kigoma,16,2,kasulu,850.0,True,water authority,True,1977.0,gravity,gravity,gravity,water board,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.004548537424766746,0.25124442965392607
50262,12334,2012-10-16,government of tanzania,1260.0,government,34.00986826,-1.62241237,0,lake victoria,mara,20,3,musoma rural,320.0,,vwc,True,1975.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0037404157680377774,0.25114774952319674
13147,858,2013-02-27,government of tanzania,1407.0,dwe,37.41862458,-3.3029244,0,pangani,kilimanjaro,3,4,moshi rural,60.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,other,other,functional needs repair,0.0032094857506180584,0.2510313082661878
20879,19107,2013-02-02,danida,456.0,danida,37.45589276,-11.20871594,0,ruvuma / southern coast,ruvuma,10,1,tunduru,524.0,True,vwc,False,1986.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.05003734563212564,0.25101557003821595
7853,54776,2013-02-04,regional water engineer arusha,1957.0,regional water engineer arusha,35.32389612,-4.02976835,0,internal,manyara,21,3,mbulu,178.0,True,vwc,True,1976.0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.010137866559952725,0.25069193861237105
2814,57637,2011-04-17,ded,,dwe,36.14479486,-4.90221141,0,internal,dodoma,1,1,kondoa,,True,vwc,False,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.09435647073946384,0.25067102994035584
13472,30193,2013-02-06,government of tanzania,54.0,dwe,39.12726914,-8.53784036,0,ruvuma / southern coast,lindi,80,13,kilwa,430.0,,,True,1985.0,afridev,afridev,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair,0.04665881849583867,0.25054221738409743
33797,74165,2013-01-29,government of tanzania,1159.0,government,29.98696096,-4.83501696,0,lake tanganyika,kigoma,16,2,kigoma rural,470.0,True,water authority,True,1976.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.005447350401893791,0.2505085864043867
6662,8426,2013-02-27,government of tanzania,1416.0,dwe,37.42131368,-3.30438999,0,pangani,kilimanjaro,3,4,moshi rural,40.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0030728978355968255,0.25040494707869687
10747,57320,2013-01-24,district council,291.0,district water department,39.11670206,-9.90449906,0,ruvuma / southern coast,lindi,80,53,ruangwa,250.0,True,wua,True,1975.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.004289306747537289,0.2503885503265002
15505,40739,2011-03-29,go,1194.0,go,36.92270872,-6.10288919,0,wami / ruvu,morogoro,5,1,kilosa,170.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0009468788246097649,0.2502706034807364
14111,28841,2013-02-02,danida,463.0,danida,37.45301757,-11.2113106,0,ruvuma / southern coast,ruvuma,10,1,tunduru,253.0,True,vwc,False,1986.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.05371475646480347,0.2502427213706254
33211,35901,2013-02-02,danida,456.0,danida,37.45752378,-11.21793172,0,ruvuma / southern coast,ruvuma,10,1,tunduru,1.0,True,vwc,False,1986.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.05761167938768452,0.2501901632750999
18537,3048,2013-01-03,government of tanzania,907.0,dwe,37.3869163,-3.33030943,0,pangani,kilimanjaro,3,4,moshi rural,160.0,False,vwc,True,1975.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,other,other,functional needs repair,0.005539087296125576,0.25017165558044663
10047,31431,2013-02-03,danida,454.0,danida,37.45750492,-11.21788495,0,ruvuma / southern coast,ruvuma,10,1,tunduru,1.0,True,vwc,False,1986.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.05757607234759375,0.2501404751043499
32043,67422,2013-02-23,government of tanzania,965.0,government,35.14784494,-10.68474524,0,ruvuma / southern coast,ruvuma,10,3,mbinga,60.0,,vwc,True,1977.0,gravity,gravity,gravity,,,,,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.015994916404471014,0.25000493023603504
12185,36740,2013-01-29,government of tanzania,1127.0,government,29.9741827,-4.84070185,0,lake tanganyika,kigoma,16,2,kigoma rural,580.0,True,water authority,True,1976.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.0032276697943876146,0.24980778354389072
7139,42604,2011-04-13,government of tanzania,1768.0,dwe,34.69043733,-9.14566045,0,rufiji,iringa,11,4,njombe,125.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.0012569225109322142,0.24972280054815416
5905,60043,2013-03-18,government of tanzania,1116.0,dwe,37.41596599,-3.32721849,0,pangani,kilimanjaro,3,4,moshi rural,60.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0022216854900075,0.2496528733305405
8679,49693,2013-02-27,government of tanzania,1234.0,dwe,37.4195055,-3.31857054,0,pangani,kilimanjaro,3,4,moshi rural,60.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0021794592689444274,0.24959394836297902
13418,28490,2011-09-04,unicef,1650.0,dwe,34.61740325,-9.0731528,0,rufiji,iringa,11,4,njombe,53.0,True,wua,True,1978.0,gravity,gravity,gravity,wua,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.02029280078231823,0.24956062882840108
46899,18346,2013-01-30,government of tanzania,1283.0,government,30.0395249,-4.77403176,0,lake tanganyika,kigoma,16,2,kasulu,680.0,True,water authority,True,1976.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0014848358636885902,0.2495545215888722
2710,27791,2013-02-24,government of tanzania,1507.0,dwe,37.42553193,-3.29680938,0,pangani,kilimanjaro,3,4,moshi rural,60.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.002104059055186972,0.24948873044297734
48731,8152,2011-07-14,government of tanzania,1158.0,townsh,31.17086736,-6.37940555,0,lake rukwa,rukwa,15,1,mpanda,70.0,False,water authority,True,1974.0,gravity,gravity,gravity,water authority,commercial,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0018706933007065492,0.24938095722422965
655,29153,2013-01-24,district council,286.0,district water department,39.11931398,-9.90286201,0,ruvuma / southern coast,lindi,80,53,ruangwa,380.0,True,wua,True,1975.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.001536628300465432,0.2493797290695458
643,11447,2013-01-21,government of tanzania,109.0,dwe,38.99315731,-9.25518964,0,ruvuma / southern coast,lindi,80,13,kilwa,630.0,True,wug,False,1976.0,submersible,submersible,submersible,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.00213871508644646,0.249377587527813
12408,70544,2013-02-27,government of tanzania,1272.0,dwe,37.41817703,-3.31644258,0,pangani,kilimanjaro,3,4,moshi rural,70.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0018657844603540146,0.24937410713792652
27378,47131,2013-02-27,government of tanzania,1210.0,dwe,37.4161817,-3.32051486,0,pangani,kilimanjaro,3,4,moshi rural,50.0,False,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.002142235214022823,0.24932412454983346
37839,12159,2013-03-27,government of tanzania,700.0,government,37.85099429,-4.32519732,0,pangani,kilimanjaro,3,3,same,80.0,True,water authority,True,1974.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.001598174695238528,0.24921854780038707
44215,35634,2013-01-28,government of tanzania,1032.0,dwe,29.93071755,-4.80713576,0,lake tanganyika,kigoma,16,2,kigoma rural,540.0,True,water authority,True,1976.0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.0033592382955213392,0.2491198653589316
35697,51881,2013-03-19,government of tanzania,1216.0,dwe,37.41953352,-3.32011624,0,pangani,kilimanjaro,3,4,moshi rural,50.0,True,vwc,True,1974.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.001976110953364087,0.24909230492629028
8682,14445,2013-03-28,government of tanzania,660.0,government,37.827837200000005,-4.36407401,0,pangani,kilimanjaro,3,3,same,120.0,True,water authority,True,1975.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.005339420309004446,0.2490215117946819
39574,21652,2011-04-14,unicef/central,1725.0,dwe,34.70229514,-9.10808285,0,rufiji,iringa,11,4,njombe,45.0,True,wua,True,1974.0,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.0019685577560429415,0.2489728251656885
